source,target,value
news,MSFT,240041
news,MSFT,240046
news,MSFT,240047
news,MSFT,240048
news,MSFT,240049
news,MSFT,240050
news,MSFT,240051
news,MSFT,240052
news,MSFT,240065
news,MSFT,240085
news,MSFT,240086
news,MSFT,240087
news,MSFT,240088
news,MSFT,240089
news,MSFT,240100
news,MSFT,240102
news,MSFT,240110
news,MSFT,240117
news,MSFT,240118
news,MSFT,240119
news,MSFT,240120
news,MSFT,240141
news,MSFT,240156
news,MSFT,240157
news,MSFT,240158
news,MSFT,240159
news,MSFT,240160
news,MSFT,240161
news,MSFT,240162
news,MSFT,240169
news,MSFT,240183
news,MSFT,240191
news,MSFT,240192
news,MSFT,240193
news,MSFT,240194
news,MSFT,240195
news,MSFT,240196
news,MSFT,240204
news,MSFT,240219
news,MSFT,240220
news,MSFT,240228
news,MSFT,240229
news,MSFT,240230
news,MSFT,240231
news,MSFT,240232
news,MSFT,240233
news,MSFT,240234
news,MSFT,240240
news,MSFT,240243
news,MSFT,240248
news,MSFT,240249
news,MSFT,240261
news,MSFT,240262
news,MSFT,240263
news,MSFT,240264
news,MSFT,240265
news,MSFT,240266
news,MSFT,240267
news,MSFT,240282
news,MSFT,240283
news,MSFT,240284
news,MSFT,240285
news,MSFT,240286
news,MSFT,240287
news,MSFT,240288
news,MSFT,240306
news,MSFT,240317
news,MSFT,240320
news,MSFT,240321
news,MSFT,240322
news,MSFT,240323
news,MSFT,240324
news,MSFT,240336
news,MSFT,240337
news,MSFT,240354
news,MSFT,240355
news,MSFT,240356
news,MSFT,240357
news,MSFT,240368
news,MSFT,240377
news,MSFT,240378
news,MSFT,240379
news,MSFT,240380
news,MSFT,240388
news,MSFT,240391
news,MSFT,240405
news,MSFT,240406
news,MSFT,240407
news,MSFT,240408
news,MSFT,240409
news,MSFT,240410
news,MSFT,240435
news,MSFT,240439
news,MSFT,240440
news,MSFT,240457
news,MSFT,240458
news,MSFT,240459
news,MSFT,240460
news,MSFT,240461
news,MSFT,240462
news,MSFT,240463
news,MSFT,240465
news,MSFT,240466
news,MSFT,240467
news,MSFT,240468
news,MSFT,240479
news,MSFT,240480
news,MSFT,240498
news,MSFT,240502
news,MSFT,240503
news,MSFT,240504
news,MSFT,240543
news,MSFT,240544
news,MSFT,240545
news,MSFT,240546
news,MSFT,240547
news,MSFT,240548
news,MSFT,240562
news,MSFT,240563
news,MSFT,240564
news,MSFT,240566
news,MSFT,240590
news,MSFT,240591
news,MSFT,240592
news,MSFT,240593
news,MSFT,240600
news,MSFT,240601
news,MSFT,240602
news,MSFT,240603
news,MSFT,240604
news,MSFT,240607
news,MSFT,240620
news,MSFT,240622
news,MSFT,240623
news,MSFT,240646
news,MSFT,240647
news,MSFT,240648
news,MSFT,240649
news,MSFT,240650
news,MSFT,240651
news,MSFT,240652
news,MSFT,240656
news,MSFT,240662
news,MSFT,240663
news,MSFT,240669
news,MSFT,240670
news,MSFT,240672
news,MSFT,240673
news,MSFT,240674
news,MSFT,240675
news,MSFT,240676
news,MSFT,240693
news,MSFT,240701
news,MSFT,240702
news,MSFT,240703
news,MSFT,240704
news,MSFT,240723
news,MSFT,240724
news,MSFT,240725
news,MSFT,240726
news,MSFT,240730
news,MSFT,240733
news,MSFT,240734
news,MSFT,240735
news,MSFT,240736
news,MSFT,240737
news,MSFT,240765
news,MSFT,240772
news,MSFT,240773
news,MSFT,240787
news,MSFT,240788
news,MSFT,240789
news,MSFT,240790
news,MSFT,240791
news,MSFT,240792
news,MSFT,240793
news,MSFT,240812
news,MSFT,240819
news,MSFT,240820
news,MSFT,240821
news,MSFT,240822
news,MSFT,240823
news,MSFT,240824
news,MSFT,240825
news,MSFT,240834
news,MSFT,240838
news,MSFT,240843
news,MSFT,240844
news,MSFT,240860
news,MSFT,240861
news,MSFT,240862
news,MSFT,240863
news,MSFT,240864
news,MSFT,240865
news,MSFT,240866
news,MSFT,240874
news,MSFT,240877
news,MSFT,240878
news,MSFT,240879
news,MSFT,240880
news,MSFT,240881
news,MSFT,240882
news,MSFT,240892
news,MSFT,240893
news,MSFT,240916
news,MSFT,240917
news,MSFT,240927
news,MSFT,240928
news,MSFT,240929
news,MSFT,240930
news,MSFT,240936
news,MSFT,240938
news,MSFT,240948
news,MSFT,240949
news,MSFT,240950
news,MSFT,240951
news,MSFT,240952
news,MSFT,240953
news,MSFT,240954
news,MSFT,240955
news,MSFT,240972
news,MSFT,240973
news,MSFT,240974
news,MSFT,240975
news,MSFT,240976
news,MSFT,240988
news,MSFT,240991
news,MSFT,240996
news,MSFT,241007
news,MSFT,241017
news,MSFT,241018
news,MSFT,241019
news,MSFT,241020
news,MSFT,241021
news,MSFT,241022
news,MSFT,241030
news,MSFT,241036
news,MSFT,241037
news,MSFT,241038
news,MSFT,241039
news,MSFT,241040
news,MSFT,241041
news,MSFT,241048
news,MSFT,241061
news,MSFT,241062
news,MSFT,241063
news,MSFT,241064
news,MSFT,241066
news,MSFT,241067
news,MSFT,241068
news,MSFT,241069
news,MSFT,241076
news,MSFT,241085
news,MSFT,241086
news,MSFT,241087
news,MSFT,241088
news,MSFT,241089
news,MSFT,241090
news,MSFT,241091
news,MSFT,241094
news,MSFT,241097
news,MSFT,241106
news,MSFT,241109
news,MSFT,241117
news,MSFT,241118
news,MSFT,241119
news,MSFT,241120
news,MSFT,241121
news,MSFT,241122
news,MSFT,241123
news,MSFT,241124
news,MSFT,241142
news,MSFT,241145
news,MSFT,241146
news,MSFT,241147
news,MSFT,241148
news,MSFT,241149
news,MSFT,241150
news,MSFT,241151
news,MSFT,241152
news,MSFT,241159
news,MSFT,241160
news,MSFT,241161
news,MSFT,241162
news,MSFT,241163
news,MSFT,241164
news,MSFT,241166
news,MSFT,241167
news,MSFT,241184
news,MSFT,241187
news,MSFT,241195
news,MSFT,241196
news,MSFT,241212
news,MSFT,241213
news,MSFT,241214
news,MSFT,241215
news,MSFT,241224
news,MSFT,241248
news,MSFT,241249
news,MSFT,241250
news,MSFT,241251
news,MSFT,241252
news,MSFT,241253
news,MSFT,241254
news,MSFT,241255
news,MSFT,241256
news,MSFT,241274
news,MSFT,241283
news,MSFT,241284
news,MSFT,241285
news,MSFT,241286
news,MSFT,241287
news,MSFT,241288
news,MSFT,241289
news,MSFT,241299
news,MSFT,241301
news,MSFT,241304
news,MSFT,241305
news,MSFT,241307
news,MSFT,241308
news,MSFT,241309
news,MSFT,241311
news,MSFT,241318
news,MSFT,241336
news,MSFT,241346
news,MSFT,241349
news,MSFT,241350
news,MSFT,241351
news,MSFT,241352
news,MSFT,241354
news,MSFT,241363
news,MSFT,241364
news,MSFT,241365
news,MSFT,241366
news,MSFT,241367
news,MSFT,241368
news,MSFT,241370
news,MSFT,241401
news,MSFT,241405
news,MSFT,241406
news,MSFT,241407
news,MSFT,241408
news,MSFT,241409
news,MSFT,241410
news,MSFT,241411
news,MSFT,241420
news,MSFT,241428
news,MSFT,241455
news,MSFT,241456
news,MSFT,241457
news,MSFT,241458
news,MSFT,241459
news,MSFT,241460
news,MSFT,241461
news,MSFT,241468
news,MSFT,241481
news,MSFT,241487
news,MSFT,241488
news,MSFT,241489
news,MSFT,241490
news,MSFT,241491
news,MSFT,241492
news,MSFT,241493
news,MSFT,241494
news,MSFT,241511
news,MSFT,241546
news,MSFT,241547
news,MSFT,241548
news,MSFT,241549
news,MSFT,241550
news,MSFT,241551
news,MSFT,241552
news,MSFT,241553
news,MSFT,241563
news,MSFT,241574
news,MSFT,241575
news,MSFT,241576
news,MSFT,241577
news,MSFT,241578
news,MSFT,241579
news,MSFT,241582
news,MSFT,241584
news,MSFT,241585
news,MSFT,241600
news,MSFT,241607
news,MSFT,241613
news,MSFT,241614
news,MSFT,241615
news,MSFT,241616
news,MSFT,241617
news,MSFT,241618
news,MSFT,241619
news,MSFT,241628
news,MSFT,241637
news,MSFT,241641
news,MSFT,241642
news,MSFT,241643
news,MSFT,241644
news,MSFT,241645
news,MSFT,241646
news,MSFT,241652
news,MSFT,241666
news,MSFT,241667
news,MSFT,241668
news,MSFT,241669
news,MSFT,241670
news,MSFT,241671
news,MSFT,241672
news,MSFT,241681
news,MSFT,241689
news,MSFT,241693
news,MSFT,241694
news,MSFT,241695
news,MSFT,241696
news,MSFT,241697
news,MSFT,241698
news,MSFT,241709
news,MSFT,241720
news,MSFT,241721
news,MSFT,241730
news,MSFT,241731
news,MSFT,241732
news,MSFT,241733
news,MSFT,241741
news,MSFT,241743
news,MSFT,241744
news,MSFT,241745
news,MSFT,241746
news,MSFT,241747
news,MSFT,241748
news,MSFT,241766
news,MSFT,241790
news,MSFT,241791
news,MSFT,241792
news,MSFT,241793
news,MSFT,241824
news,MSFT,241825
news,MSFT,241826
news,MSFT,241831
news,MSFT,241833
news,MSFT,241835
news,MSFT,241836
news,MSFT,241837
news,MSFT,241838
news,MSFT,241839
news,MSFT,241840
news,MSFT,241841
news,MSFT,241871
news,MSFT,241872
news,MSFT,241881
news,MSFT,241882
news,MSFT,241883
news,MSFT,241884
news,MSFT,241885
news,MSFT,241886
news,MSFT,241887
news,MSFT,241888
news,MSFT,241890
news,MSFT,241895
news,MSFT,241896
news,MSFT,241897
news,MSFT,241900
news,MSFT,241901
news,MSFT,241902
news,MSFT,241903
news,MSFT,241904
news,MSFT,241905
news,MSFT,241919
news,MSFT,241920
news,MSFT,241921
news,MSFT,241940
news,MSFT,241941
news,MSFT,241942
news,MSFT,241943
news,MSFT,241944
news,MSFT,241947
news,MSFT,241948
news,MSFT,241949
news,MSFT,241950
news,MSFT,241951
news,MSFT,241956
news,MSFT,241957
news,MSFT,241958
news,MSFT,241959
news,MSFT,241981
news,MSFT,241985
news,MSFT,241986
news,MSFT,241987
news,MSFT,241988
news,MSFT,241989
news,MSFT,241990
news,MSFT,241991
news,MSFT,241993
news,MSFT,242022
news,MSFT,242034
news,MSFT,242035
news,MSFT,242036
news,MSFT,242038
news,MSFT,242039
news,MSFT,242040
news,MSFT,242041
news,MSFT,242042
news,MSFT,242055
news,MSFT,242066
news,MSFT,242067
news,MSFT,242069
news,MSFT,242070
news,MSFT,242071
news,MSFT,242100
news,MSFT,242101
news,MSFT,242102
news,MSFT,242110
news,MSFT,242111
news,MSFT,242112
news,MSFT,242113
news,MSFT,242114
news,MSFT,242120
news,MSFT,242124
news,MSFT,242126
news,MSFT,242127
news,MSFT,242128
news,MSFT,242146
news,MSFT,242147
news,MSFT,242148
news,MSFT,242164
news,MSFT,242165
news,MSFT,242166
news,MSFT,242167
news,MSFT,242168
news,MSFT,242169
news,MSFT,242174
news,MSFT,242200
news,MSFT,242202
news,MSFT,242204
news,MSFT,242214
news,MSFT,242215
news,MSFT,242232
news,MSFT,242233
news,MSFT,242234
news,MSFT,242235
news,MSFT,242236
news,MSFT,242237
news,MSFT,242267
news,MSFT,242268
news,MSFT,242269
news,MSFT,242270
news,MSFT,242271
news,MSFT,242272
news,MSFT,242273
news,MSFT,242274
news,MSFT,242280
news,MSFT,242295
news,MSFT,242296
news,MSFT,242297
news,MSFT,242298
news,MSFT,242299
news,MSFT,242300
news,MSFT,242301
news,MSFT,242306
news,MSFT,242307
news,MSFT,242308
news,MSFT,242309
news,MSFT,242310
news,MSFT,242311
news,MSFT,242312
news,MSFT,242313
news,MSFT,242339
news,MSFT,242342
news,MSFT,242345
news,MSFT,242346
news,MSFT,242347
news,MSFT,242370
news,MSFT,242374
news,MSFT,242392
news,MSFT,242399
news,MSFT,242400
news,MSFT,242401
news,MSFT,242402
news,MSFT,242403
news,MSFT,242404
news,MSFT,242405
news,MSFT,242438
news,MSFT,242439
news,MSFT,242457
news,MSFT,242458
news,MSFT,242459
news,MSFT,242460
news,MSFT,242461
news,MSFT,242462
news,MSFT,242463
news,MSFT,242469
news,MSFT,242500
news,MSFT,242501
news,MSFT,242505
news,MSFT,242506
news,MSFT,242507
news,MSFT,242508
news,MSFT,242509
news,MSFT,242510
news,MSFT,242517
news,MSFT,242524
news,MSFT,242529
news,MSFT,242543
news,MSFT,242544
news,MSFT,242545
news,MSFT,242546
news,MSFT,242547
news,MSFT,242548
news,MSFT,242564
news,MSFT,242592
news,MSFT,242593
news,MSFT,242594
news,MSFT,242595
news,MSFT,242596
news,MSFT,242597
news,MSFT,242598
news,MSFT,242614
news,MSFT,242625
news,MSFT,242626
news,MSFT,242630
news,MSFT,242631
news,MSFT,242632
news,MSFT,242633
news,MSFT,242634
news,MSFT,242635
news,MSFT,242636
news,MSFT,242659
news,MSFT,242694
news,MSFT,242695
news,MSFT,242696
news,MSFT,242697
news,MSFT,242698
news,MSFT,242699
news,MSFT,242707
news,MSFT,242710
news,MSFT,242711
news,MSFT,242712
news,MSFT,242713
news,MSFT,242714
news,MSFT,242718
news,MSFT,242736
news,MSFT,242737
news,MSFT,242777
news,MSFT,242778
news,MSFT,242791
news,MSFT,242792
news,MSFT,242793
news,MSFT,242794
news,MSFT,242795
news,MSFT,242796
news,MSFT,242797
news,MSFT,242808
news,MSFT,242809
news,MSFT,242812
news,MSFT,242813
news,MSFT,242814
news,MSFT,242815
news,MSFT,242820
news,MSFT,242821
news,MSFT,242822
news,MSFT,242854
news,MSFT,242857
news,MSFT,242858
news,MSFT,242882
news,MSFT,242886
news,MSFT,242887
news,MSFT,242888
news,MSFT,242889
news,MSFT,242911
news,MSFT,242915
news,MSFT,242926
news,MSFT,242927
news,MSFT,242928
news,MSFT,242929
news,MSFT,242930
news,MSFT,242952
news,MSFT,242985
news,MSFT,242986
news,MSFT,242998
news,MSFT,242999
news,MSFT,243000
news,MSFT,243001
news,MSFT,243002
news,MSFT,243003
news,MSFT,243022
news,MSFT,243027
news,MSFT,243028
news,MSFT,243029
news,MSFT,243030
news,MSFT,243031
news,MSFT,243032
news,MSFT,243033
news,MSFT,243034
news,MSFT,243064
news,MSFT,243092
news,MSFT,243093
news,MSFT,243094
news,MSFT,243095
news,MSFT,243096
news,MSFT,243097
news,MSFT,243098
news,MSFT,243113
news,MSFT,243114
news,MSFT,243119
news,MSFT,243120
news,MSFT,243121
news,MSFT,243122
news,MSFT,243123
news,MSFT,243124
news,MSFT,243125
news,MSFT,243153
news,MSFT,243158
news,MSFT,243213
news,MSFT,243214
news,MSFT,243215
news,MSFT,243216
news,MSFT,243217
news,MSFT,243218
news,MSFT,243219
news,MSFT,243276
news,MSFT,243277
news,MSFT,243297
news,MSFT,243298
news,MSFT,243299
news,MSFT,243300
news,MSFT,243301
news,MSFT,243318
news,MSFT,243349
news,MSFT,243372
news,MSFT,243373
news,MSFT,243374
news,MSFT,243375
news,MSFT,243376
news,MSFT,243377
news,MSFT,243378
news,MSFT,243387
news,MSFT,243392
news,MSFT,243393
news,MSFT,243394
news,MSFT,243397
news,MSFT,243433
news,MSFT,243434
news,MSFT,243435
news,MSFT,243436
news,MSFT,243466
news,MSFT,243470
news,MSFT,243471
news,MSFT,243472
news,MSFT,243489
news,MSFT,243515
news,MSFT,243516
news,MSFT,243545
news,MSFT,243546
news,MSFT,243548
news,MSFT,243578
news,MSFT,243579
news,MSFT,243580
news,MSFT,243581
news,MSFT,243582
news,MSFT,243605
news,MSFT,243664
news,MSFT,243665
news,MSFT,243666
news,MSFT,243667
news,MSFT,243668
news,MSFT,243669
news,MSFT,243670
news,MSFT,243689
news,MSFT,243690
news,MSFT,243691
news,MSFT,243692
news,MSFT,243712
news,MSFT,243713
news,MSFT,243769
